,date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter
460,1996-06-26,England,Germany,England,Alan Shearer,3.0,False,False,1,1,UEFA Euro,London,England,False,Germany,England
461,1996-06-26,England,Germany,Germany,Stefan Kuntz,16.0,False,False,1,1,UEFA Euro,London,England,False,Germany,England
462,1996-09-01,Moldova,England,England,Nicky Barmby,24.0,False,False,0,3,FIFA World Cup qualification,Chișinău,Moldova,False,,
463,1996-09-01,Moldova,England,England,Paul Gascoigne,26.0,False,False,0,3,FIFA World Cup qualification,Chișinău,Moldova,False,,
464,1996-09-01,Moldova,England,England,Alan Shearer,61.0,False,False,0,3,FIFA World Cup qualification,Chișinău,Moldova,False,,
465,1996-10-09,England,Poland,Poland,Marek Citko,7.0,False,False,2,1,FIFA World Cup qualification,London,England,False,,
466,1996-10-09,England,Poland,England,Alan Shearer,25.0,False,False,2,1,FIFA World Cup qualification,London,England,False,,
467,1996-10-09,England,Poland,England,Alan Shearer,38.0,False,False,2,1,FIFA World Cup qualification,London,England,False,,
468,1996-11-09,Georgia,England,England,Teddy Sheringham,15.0,False,False,0,2,FIFA World Cup qualification,Tbilisi,Georgia,False,,
469,1996-11-09,Georgia,England,England,Les Ferdinand,37.0,False,False,0,2,FIFA World Cup qualification,Tbilisi,Georgia,False,,
470,1997-02-12,England,Italy,Italy,Gianfranco Zola,19.0,False,False,0,1,FIFA World Cup qualification,London,England,False,,
471,1997-04-30,England,Georgia,England,Teddy Sheringham,42.0,False,False,2,0,FIFA World Cup qualification,London,England,False,,
472,1997-04-30,England,Georgia,England,Alan Shearer,90.0,False,False,2,0,FIFA World Cup qualification,London,England,False,,
473,1997-05-31,Poland,England,England,Alan Shearer,5.0,False,False,0,2,FIFA World Cup qualification,Chorzów,Poland,False,,
474,1997-05-31,Poland,England,England,Teddy Sheringham,90.0,False,False,0,2,FIFA World Cup qualification,Chorzów,Poland,False,,
475,1997-09-10,England,Moldova,England,Paul Scholes,29.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
476,1997-09-10,England,Moldova,England,Ian Wright,46.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
477,1997-09-10,England,Moldova,England,Paul Gascoigne,81.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
478,1997-09-10,England,Moldova,England,Ian Wright,90.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
479,1998-06-15,England,Tunisia,England,Alan Shearer,42.0,False,False,2,0,FIFA World Cup,Marseille,France,True,,
480,1998-06-15,England,Tunisia,England,Paul Scholes,89.0,False,False,2,0,FIFA World Cup,Marseille,France,True,,
481,1998-06-22,Romania,England,Romania,Viorel Moldovan,46.0,False,False,2,1,FIFA World Cup,Toulouse,France,True,,
482,1998-06-22,Romania,England,England,Michael Owen,81.0,False,False,2,1,FIFA World Cup,Toulouse,France,True,,
483,1998-06-22,Romania,England,Romania,Dan Petrescu,90.0,False,False,2,1,FIFA World Cup,Toulouse,France,True,,
484,1998-06-26,Colombia,England,England,Darren Anderton,20.0,False,False,0,2,FIFA World Cup,Lens,France,True,,
485,1998-06-26,Colombia,England,England,David Beckham,29.0,False,False,0,2,FIFA World Cup,Lens,France,True,,
486,1998-06-30,Argentina,England,Argentina,Gabriel Batistuta,5.0,False,True,2,2,FIFA World Cup,Saint-Étienne,France,True,Argentina,Argentina
487,1998-06-30,Argentina,England,England,Alan Shearer,9.0,False,True,2,2,FIFA World Cup,Saint-Étienne,France,True,Argentina,Argentina
488,1998-06-30,Argentina,England,England,Michael Owen,16.0,False,False,2,2,FIFA World Cup,Saint-Étienne,France,True,Argentina,Argentina
489,1998-06-30,Argentina,England,Argentina,Javier Zanetti,45.0,False,False,2,2,FIFA World Cup,Saint-Étienne,France,True,Argentina,Argentina
490,1998-09-05,Sweden,England,England,Alan Shearer,1.0,False,False,2,1,UEFA Euro qualification,Solna,Sweden,False,,
491,1998-09-05,Sweden,England,Sweden,Andreas Andersson,30.0,False,False,2,1,UEFA Euro qualification,Solna,Sweden,False,,
492,1998-09-05,Sweden,England,Sweden,Johan Mjällby,32.0,False,False,2,1,UEFA Euro qualification,Solna,Sweden,False,,
493,1998-10-14,Luxembourg,England,England,Michael Owen,18.0,False,False,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False,,
494,1998-10-14,Luxembourg,England,England,Alan Shearer,38.0,False,True,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False,,
495,1998-10-14,Luxembourg,England,England,Gareth Southgate,88.0,False,False,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False,,
496,1999-03-27,England,Poland,England,Paul Scholes,12.0,False,False,3,1,UEFA Euro qualification,London,England,False,,
497,1999-03-27,England,Poland,England,Paul Scholes,22.0,False,False,3,1,UEFA Euro qualification,London,England,False,,
498,1999-03-27,England,Poland,Poland,Jerzy Brzęczek,28.0,False,False,3,1,UEFA Euro qualification,London,England,False,,
499,1999-03-27,England,Poland,England,Paul Scholes,70.0,False,False,3,1,UEFA Euro qualification,London,England,False,,
500,1999-06-09,Bulgaria,England,England,Alan Shearer,15.0,False,False,1,1,UEFA Euro qualification,Sofia,Bulgaria,False,,
501,1999-06-09,Bulgaria,England,Bulgaria,Georgi Markov,18.0,False,False,1,1,UEFA Euro qualification,Sofia,Bulgaria,False,,
502,1999-09-04,England,Luxembourg,England,Alan Shearer,12.0,False,True,6,0,UEFA Euro qualification,London,England,False,,
503,1999-09-04,England,Luxembourg,England,Alan Shearer,28.0,False,False,6,0,UEFA Euro qualification,London,England,False,,
504,1999-09-04,England,Luxembourg,England,Steve McManaman,30.0,False,False,6,0,UEFA Euro qualification,London,England,False,,
505,1999-09-04,England,Luxembourg,England,Alan Shearer,34.0,False,False,6,0,UEFA Euro qualification,London,England,False,,
506,1999-09-04,England,Luxembourg,England,Steve McManaman,44.0,False,False,6,0,UEFA Euro qualification,London,England,False,,
507,1999-09-04,England,Luxembourg,England,Michael Owen,90.0,False,False,6,0,UEFA Euro qualification,London,England,False,,
508,1999-11-13,Scotland,England,England,Paul Scholes,21.0,False,False,0,2,UEFA Euro qualification,Glasgow,Scotland,False,,
509,1999-11-13,Scotland,England,England,Paul Scholes,42.0,False,False,0,2,UEFA Euro qualification,Glasgow,Scotland,False,,
510,1999-11-17,England,Scotland,Scotland,Don Hutchison,39.0,False,False,0,1,UEFA Euro qualification,London,England,False,,
511,2000-06-12,Portugal,England,England,Paul Scholes,3.0,False,False,3,2,UEFA Euro,Eindhoven,Netherlands,True,,
512,2000-06-12,Portugal,England,England,Steve McManaman,18.0,False,False,3,2,UEFA Euro,Eindhoven,Netherlands,True,,
513,2000-06-12,Portugal,England,Portugal,Luís Figo,22.0,False,False,3,2,UEFA Euro,Eindhoven,Netherlands,True,,
514,2000-06-12,Portugal,England,Portugal,João Vieira Pinto,37.0,False,False,3,2,UEFA Euro,Eindhoven,Netherlands,True,,
515,2000-06-12,Portugal,England,Portugal,Nuno Gomes,59.0,False,False,3,2,UEFA Euro,Eindhoven,Netherlands,True,,
516,2000-06-17,England,Germany,England,Alan Shearer,53.0,False,False,1,0,UEFA Euro,Charleroi,Belgium,True,,
517,2000-06-20,England,Romania,Romania,Cristian Chivu,22.0,False,False,2,3,UEFA Euro,Charleroi,Belgium,True,,
518,2000-06-20,England,Romania,England,Alan Shearer,41.0,False,True,2,3,UEFA Euro,Charleroi,Belgium,True,,
519,2000-06-20,England,Romania,England,Michael Owen,45.0,False,False,2,3,UEFA Euro,Charleroi,Belgium,True,,
520,2000-06-20,England,Romania,Romania,Dorinel Munteanu,48.0,False,False,2,3,UEFA Euro,Charleroi,Belgium,True,,
521,2000-06-20,England,Romania,Romania,Ionel Ganea,89.0,False,True,2,3,UEFA Euro,Charleroi,Belgium,True,,
522,2000-10-07,England,Germany,Germany,Dietmar Hamann,14.0,False,False,0,1,FIFA World Cup qualification,London,England,False,,
523,2001-03-24,England,Finland,Finland,Aki Riihilahti,26.0,False,False,2,1,FIFA World Cup qualification,Liverpool,England,False,,
524,2001-03-24,England,Finland,England,Michael Owen,44.0,False,False,2,1,FIFA World Cup qualification,Liverpool,England,False,,
525,2001-03-24,England,Finland,England,David Beckham,50.0,False,False,2,1,FIFA World Cup qualification,Liverpool,England,False,,
526,2001-03-28,Albania,England,England,Michael Owen,74.0,False,False,1,3,FIFA World Cup qualification,Tirana,Albania,False,,
527,2001-03-28,Albania,England,England,Paul Scholes,85.0,False,False,1,3,FIFA World Cup qualification,Tirana,Albania,False,,
528,2001-03-28,Albania,England,Albania,Altin Rraklli,90.0,False,False,1,3,FIFA World Cup qualification,Tirana,Albania,False,,
529,2001-03-28,Albania,England,England,Andy Cole,90.0,False,False,1,3,FIFA World Cup qualification,Tirana,Albania,False,,
530,2001-06-06,Greece,England,England,Paul Scholes,63.0,False,False,0,2,FIFA World Cup qualification,Athens,Greece,False,,
531,2001-06-06,Greece,England,England,David Beckham,87.0,False,False,0,2,FIFA World Cup qualification,Athens,Greece,False,,
532,2001-09-01,Germany,England,Germany,Carsten Jancker,6.0,False,False,1,5,FIFA World Cup qualification,Munich,Germany,False,,
533,2001-09-01,Germany,England,England,Michael Owen,12.0,False,False,1,5,FIFA World Cup qualification,Munich,Germany,False,,
534,2001-09-01,Germany,England,England,Steven Gerrard,45.0,False,False,1,5,FIFA World Cup qualification,Munich,Germany,False,,
535,2001-09-01,Germany,England,England,Michael Owen,48.0,False,False,1,5,FIFA World Cup qualification,Munich,Germany,False,,
536,2001-09-01,Germany,England,England,Michael Owen,65.0,False,False,1,5,FIFA World Cup qualification,Munich,Germany,False,,
537,2001-09-01,Germany,England,England,Emile Heskey,73.0,False,False,1,5,FIFA World Cup qualification,Munich,Germany,False,,
