,home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,Price,Open,High,Low,Vol.,Change %,next_day
43236,CS Maritimo,Leeds United,2001-09-13,1.0,0.0,F,UEFA EL,CS Maritimo (Portugal),Leeds United (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,943.60","4,882.10","4,946.60","4,847.50",,1.26,2001-09-14
43263,Deportivo La Coruna,Manchester United,2001-09-25,2.0,1.0,F,UEFA CL,Deportivo La Coruna (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,663.40","4,613.90","4,679.60","4,515.30",,1.07,2001-09-26
43266,Panathinaikos,Arsenal FC,2001-09-26,1.0,0.0,F,UEFA CL,Panathinaikos (Greece),Arsenal FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,696.10","4,663.40","4,715.00","4,606.60",,0.7,2001-09-27
43294,Manchester United,Deportivo La Coruna,2001-10-17,2.0,3.0,F,UEFA CL,Manchester United (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,203.40","5,082.60","5,229.60","5,082.60",,2.38,2001-10-18
43297,Hapoel Tel Aviv,Chelsea FC,2001-10-18,2.0,0.0,F,UEFA EL,Hapoel Tel Aviv (Israel),Chelsea FC (England),israel,england,IL,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,116.00","5,203.40","5,203.40","5,090.20",,-1.68,2001-10-19
43325,FC Schalke 04,Arsenal FC,2001-10-30,3.0,1.0,F,UEFA CL,FC Schalke 04 (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,003.60","5,085.90","5,085.90","4,977.30",,-1.62,2001-10-31
43328,Estac Troyes,Leeds United,2001-11-01,3.0,2.0,F,UEFA EL,Estac Troyes (France),Leeds United (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,071.20","5,039.70","5,071.20","4,988.30",,0.63,2001-11-02
43351,Liverpool FC,FC Barcelona,2001-11-20,1.0,3.0,F,UEFA CL,Liverpool FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,298.70","5,338.00","5,344.30","5,283.50",,-0.74,2001-11-21
43352,Deportivo La Coruna,Arsenal FC,2001-11-21,2.0,0.0,F,UEFA CL,Deportivo La Coruna (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,313.80","5,298.70","5,367.60","5,272.10",,0.28,2001-11-22
43381,Inter,Ipswich Town,2001-12-06,4.0,1.0,F,UEFA EL,Inter (Italy),Ipswich Town (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,369.80","5,333.50","5,411.20","5,327.30",,0.68,2001-12-07
43513,Leeds United,PSV Eindhoven,2002-02-28,0.0,1.0,F,UEFA EL,Leeds United (England),PSV Eindhoven (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,101.00","5,178.40","5,178.40","5,093.70",,-1.49,2002-03-01
